                            -----Size(MB)----- ----Ports----             
 Id CagePos Type RPM State      Total     Free A      B      Capacity(GB)
  0 0:0:0   FC    10 normal    417792    12288 0:3:1* 1:3:1           450
  1 0:0:1   FC    10 normal    417792    13312 0:3:1  1:3:1*          450
  2 0:0:2   FC    10 normal    417792    14336 0:3:1* 1:3:1           450
  3 0:0:3   FC    10 normal    417792    12288 0:3:1  1:3:1*          450
  5 8:0:0   FC    10 normal    417792    77824 2:6:1* 3:6:1           450
  8 0:8:0   FC    15 normal    559104    78848 0:3:1* 1:3:1           600
  9 0:8:1   FC    15 normal    559104    83968 0:3:1  1:3:1*          600
 10 0:8:2   FC    15 normal    559104    82944 0:3:1* 1:3:1           600
 11 0:8:3   FC    15 normal    559104    82944 0:3:1  1:3:1*          600
 16 1:0:0   FC    10 normal    417792    14336 0:3:2* 1:3:2           450
 17 1:0:1   FC    10 normal    417792    12288 0:3:2  1:3:2*          450
 18 1:0:2   FC    10 normal    417792    13312 0:3:2* 1:3:2           450
 19 1:0:3   FC    10 normal    417792    13312 0:3:2  1:3:2*          450
 24 1:8:0   FC    15 normal    559104    82944 0:3:2* 1:3:2           600
 25 1:8:1   FC    15 normal    559104    84992 0:3:2  1:3:2*          600
 26 1:8:2   FC    15 normal    559104    83968 0:3:2* 1:3:2           600
 27 1:8:3   FC    15 normal    559104    82944 0:3:2  1:3:2*          600
 31 2:0:0   FC    10 normal    417792    76800 0:3:3* 1:3:3           450
 32 4:2:1   FC    10 normal    417792    77824 0:6:1  1:6:1*          450
 33 2:0:1   FC    10 normal    417792    77824 0:3:3  1:3:3*          450
 34 2:0:2   FC    10 normal    417792    78848 0:3:3* 1:3:3           450
 35 2:0:3   FC    10 normal    417792    79872 0:3:3  1:3:3*          450
 40 2:8:0   FC    15 normal    559104    82944 0:3:3* 1:3:3           600
 41 2:8:1   FC    15 normal    559104    87040 0:3:3  1:3:3*          600
 42 2:8:2   FC    15 normal    559104    83968 0:3:3* 1:3:3           600
 43 2:8:3   FC    15 normal    559104    88064 0:3:3  1:3:3*          600
 44 2:9:0   FC    10 normal    417792    77824 0:3:3* 1:3:3           450
 45 2:9:1   FC    10 normal    417792    79872 0:3:3  1:3:3*          450
