                            ----Size(MB)---- ----Ports----             
 Id CagePos Type RPM State     Total    Free A      B      Capacity(GB)
108 4:3:0   SSD  150 normal   872448   65536 0:6:1* 1:6:1*          920
109 4:3:1   SSD  150 normal   872448   65536 0:6:1* 1:6:1*          920
110 4:3:2   SSD  150 normal   872448   64512 0:6:1* 1:6:1*          920
111 4:3:3   SSD  150 normal   872448   64512 0:6:1* 1:6:1*          920
136 5:3:0   SSD  150 normal   872448   64512 0:6:2* 1:6:2*          920
137 5:3:1   SSD  150 normal   872448   65536 0:6:2* 1:6:2*          920
138 5:3:2   SSD  150 normal   872448   65536 0:6:2* 1:6:2*          920
139 5:3:3   SSD  150 normal   872448   64512 0:6:2* 1:6:2*          920
164 6:3:0   SSD  150 normal   872448   65536 0:6:3* 1:6:3*          920
165 6:3:1   SSD  150 normal   872448   65536 0:6:3* 1:6:3*          920
166 6:3:2   SSD  150 normal   872448   64512 0:6:3* 1:6:3*          920
167 6:3:3   SSD  150 normal   872448   64512 0:6:3* 1:6:3*          920
192 7:3:0   SSD  150 normal   872448   65536 0:6:4* 1:6:4*          920
193 7:3:1   SSD  150 normal   872448   65536 0:6:4* 1:6:4*          920
194 7:3:2   SSD  150 normal   872448   64512 0:6:4* 1:6:4*          920
195 7:3:3   SSD  150 normal   872448   64512 0:6:4* 1:6:4*          920
220 8:3:0   SSD  150 normal   872448   65536 4:3:1* 5:3:1*          920
221 8:3:1   SSD  150 normal   872448   66560 4:3:1* 5:3:1*          920
222 8:3:2   SSD  150 normal   872448   65536 4:3:1* 5:3:1*          920
223 8:3:3   SSD  150 normal   872448   65536 4:3:1* 5:3:1*          920
248 9:3:0   SSD  150 normal   872448   65536 4:3:2* 5:3:2*          920
249 9:3:1   SSD  150 normal   872448   66560 4:3:2* 5:3:2*          920
250 9:3:2   SSD  150 normal   872448   65536 4:3:2* 5:3:2*          920
251 9:3:3   SSD  150 normal   872448   65536 4:3:2* 5:3:2*          920
276 10:3:0  SSD  150 normal   872448   65536 4:3:3* 5:3:3*          920
277 10:3:1  SSD  150 normal   872448   66560 4:3:3* 5:3:3*          920
278 10:3:2  SSD  150 normal   872448   65536 4:3:3* 5:3:3*          920
279 10:3:3  SSD  150 normal   872448   65536 4:3:3* 5:3:3*          920
304 11:3:0  SSD  150 normal   872448   65536 4:3:4* 5:3:4*          920
305 11:3:1  SSD  150 normal   872448   66560 4:3:4* 5:3:4*          920
306 11:3:2  SSD  150 normal   872448   65536 4:3:4* 5:3:4*          920
307 11:3:3  SSD  150 normal   872448   65536 4:3:4* 5:3:4*          920
-----------------------------------------------------------------------
 32 total                   27918336 2093056                           
