 Id -State-   MsgCode ---------Time---------- Severity      --------------Type--------------- --------------------------------------------------------------------------------Message--------------------------------------------------------------------------------
519 New     0x0270001 2017-07-09 05:22:19 ECT Informational TP VV allocation size warning     Thin provisioned VV VM_srvpro01_DiscoJ has reached reserved allocation warning of 440G (80% of 550G)                                                                   
526 New     0x0270001 2017-08-21 19:41:37 ECT Informational TP VV allocation size warning     Thin provisioned VV bgr186fwr_DiscoC_D_Thin has reached reserved allocation warning of 200G (80% of 250G)                                                              
522 New     0x0270001 2017-09-25 20:28:27 ECT Informational TP VV allocation size warning     Thin provisioned VV VM_srvpro01_DiscoL has reached reserved allocation warning of 640G (80% of 800G)                                                                   
545 New     0x0100003 2017-10-12 23:12:59 ECT Informational Update available                  An Update is Available                                                                                                                                                 
523 New     0x0270001 2017-11-06 20:39:27 ECT Informational TP VV allocation size warning     Thin provisioned VV BGR186bkby_DiscoC has reached reserved allocation warning of 40G (80% of 50G)                                                                      
623 New     0x0270001 2017-11-09 18:07:55 ECT Informational TP VV allocation size warning     Thin provisioned VV VM_srvpro01_DiscoM_paral has reached reserved allocation warning of 40G (80% of 50G)                                                               
624 New     0x0270001 2017-11-10 03:35:02 ECT Informational TP VV allocation size warning     Thin provisioned VV bgr186q04_Disco_X_paral has reached reserved allocation warning of 400G (80% of 500G)                                                              
625 New     0x0270001 2017-11-10 03:58:48 ECT Informational TP VV allocation size warning     Thin provisioned VV VM_srvpro01_DiscoJ_paral has reached reserved allocation warning of 456G (80% of 570G)                                                             
626 New     0x0270001 2017-11-10 04:23:22 ECT Informational TP VV allocation size warning     Thin provisioned VV bgr186q04_DiscoY_paral has reached reserved allocation warning of 480G (80% of 600G)                                                               
627 New     0x0270001 2017-11-10 04:39:22 ECT Informational TP VV allocation size warning     Thin provisioned VV VM_srvpro01_DiscoL_paral has reached reserved allocation warning of 656G (80% of 820G)                                                             
533 New     0x0270001 2017-11-20 20:41:12 ECT Informational TP VV allocation size warning     Thin provisioned VV bgr186a01_DiscoL has reached reserved allocation warning of 240G (80% of 300G)                                                                     
631 New     0x015000d 2017-12-02 20:21:01 ECT Degraded      CLI client process event          Slow disk 103 found, but not marking it failed since its temperature 0 is out of range 20 - 52 deg C                                                                   
621 New     0x0270001 2017-12-13 13:28:53 ECT Informational TP VV allocation size warning     Thin provisioned VV ecbrprq23_DiscoF_CLON has reached reserved allocation warning of 160G (80% of 200G)                                                                
622 New     0x0270001 2017-12-13 13:35:38 ECT Informational TP VV allocation size warning     Thin provisioned VV ecbrprq23_DiscoE_CLON has reached reserved allocation warning of 176G (80% of 220G)                                                                
580 New     0x027000f 2018-01-02 10:07:54 ECT Minor         FC raw space allocation 75% alert Total FC raw space usage at 65579G (above 75% of total 87360G)                                                                                                         
629 New     0x0270001 2018-01-02 15:08:30 ECT Informational TP VV allocation size warning     Thin provisioned VV ecbrprq24_DiscoC has reached reserved allocation warning of 216G (80% of 270G)                                                                     
628 New     0x0270001 2018-01-02 17:43:30 ECT Informational TP VV allocation size warning     Thin provisioned VV DRECBRHCF2_vgfuentes_replica has reached reserved allocation warning of 24G (80% of 30G)                                                           
620 New     0x0270001 2018-01-02 18:23:30 ECT Informational TP VV allocation size warning     Thin provisioned VV VM_srvpro01_DiscoM has reached reserved allocation warning of 40G (80% of 50G)                                                                     
630 New     0x0270001 2018-01-04 00:55:02 ECT Informational TP VV allocation size warning     Thin provisioned VV ecbrprw14_DiscoC_D_Thin has reached reserved allocation warning of 112G (80% of 140G)                                                              
634 New     0x0270001 2018-01-05 06:06:33 ECT Informational TP VV allocation size warning     Thin provisioned VV VM_srvpro01_DiscoK has reached reserved allocation warning of 160G (80% of 200G)                                                                   
588 New     0x0270001 2018-01-06 06:56:35 ECT Informational TP VV allocation size warning     Thin provisioned VV ECBRPRW01_W02_DiscoC has reached reserved allocation warning of 128G (80% of 160G)                                                                 
