            12:21:45 01/09/2018 r/w I/O per second       KBytes per sec      Svt ms     IOSz KB     
                         VVname      Cur  Avg  Max    Cur    Avg    Max   Cur   Avg   Cur   Avg Qlen
                          admin   t    7    7    7     47     47     47  0.16  0.16   6.6   6.6    0
               bgr186b01_DiscoC   t    0    0    0      0      0      0  0.08  0.08   0.5   0.5    0
               bgr186b01_DiscoD   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               bgr186q05_DiscoC   t    2    2    2      8      8      8  0.03  0.03   4.4   4.4    0
               bgr186q05_DiscoD   t    0    0    0      0      0      0  0.06  0.06   0.5   0.5    0
             bgr186cl1_DiscoC_D   t    4    4    4     76     76     76  0.18  0.18  19.7  19.7    0
          bgr186cl2_DiscoC_D_01   t    5    5    5     17     17     17  0.12  0.12   3.2   3.2    0
bgr186cl1_cl2_DiscoF_crece_Cont   t 2725 2725 2725 261324 261324 261324  2.16  2.16  95.9  95.9    0
bgr186cl1_cl2_DiscoG_crece_cont   t    1    1    1      0      0      0  0.04  0.04   0.5   0.5    0
           bgr186cl1_cl2_DiscoQ   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
           sistemas_uio3_DiscoC   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                srvtsw01_DiscoE   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                srvtsw01_DiscoF   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               bgr186a01_DiscoC   t    1    1    1      6      6      6  8.38  8.38   4.3   4.3    0
           bgr186a01_DiscoD_new   t  133  133  133  21840  21840  21840 10.12 10.12 164.4 164.4    0
               bgr186a01_DiscoE   t    2    2    2    517    517    517  5.14  5.14 268.4 268.4    0
               bgr186a01_DiscoF   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               bgr186a01_DiscoG   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             VM_srvpro01_DiscoC   t   10   10   10    334    334    334  0.13  0.13  34.6  34.6    0
             VM_srvpro01_DiscoE   t    2    2    2     16     16     16  2.37  2.37   8.2   8.2    0
             VM_srvpro01_DiscoF   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             VM_srvpro01_DiscoG   t    0    0    0      4      4      4  0.02  0.02   8.2   8.2    0
             VM_srvpro01_DiscoH   t    0    0    0      4      4      4  0.02  0.02   8.2   8.2    0
             VM_srvpro01_DiscoI   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             VM_srvpro01_DiscoQ   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            puio186f00_DiscoC_D   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              bgr186e02_Disco_D   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             bgr186a04_DiscoC_D   t   14   14   14    284    284    284  0.11  0.11  19.7  19.7    0
            suio186a05_DiscoC_D   t   12   12   12     61     61     61  0.10  0.10   5.3   5.3    0
               ecbrprq21_DiscoC   t    1    1    1     13     13     13  0.03  0.03  13.3  13.3    0
               bgr186a05_DiscoD   t    2    2    2      8      8      8  0.08  0.08   4.1   4.1    0
               bgr186a05_DiscoE   t    1    1    1      4      4      4  0.15  0.15   4.1   4.1    0
               bgr186a05_DiscoF   t    0    0    0      6      6      6  0.03  0.03  12.3  12.3    0
               bgr186q03_DiscoE   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               bgr186q04_DiscoC   t    9    9    9     71     71     71  0.43  0.43   8.2   8.2    0
               bgr186q04_DiscoD   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               bgr186q04_DiscoE   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            srvtsw01_DiscoC_D_2   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            bgrtallaap_DiscoC_D   t    9    9    9     56     56     56  0.37  0.37   6.2   6.2    0
          bgr186cl2_DiscoC_D_02   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             bgr186vm1_DiscoC_D   t    4    4    4     34     34     34  0.05  0.05   7.9   7.9    0
              bgr186bdd_Disco_D   t    3    3    3    189    189    189  0.03  0.03  65.5  65.5    0
              bgr186bdd_Disco_E   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprq21_DiscoE   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprq23_DiscoD   t    0    0    0    184    184    184  8.38  8.38 383.0 383.0    0
               ECBRPRQ19_DiscoC   t    8    8    8     37     37     37  0.17  0.17   4.5   4.5    0
               ECBRPRSR1_DiscoC   t    1    1    1      0      0      0  0.10  0.10   0.5   0.5    0
               bgr186q04_DiscoF   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            srvtsw01_DiscoC_D_1   t    3    3    3      8      8      8  0.06  0.06   2.9   2.9    0
              bgr186q04_Disco_X   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             VM_srvpro01_DiscoJ   t    5    5    5   1215   1215   1215  5.07  5.07 252.4 252.4    0
             VM_srvpro01_DiscoK   t    1    1    1      8      8      8  0.01  0.01   8.2   8.2    0
               ecbrprq24_DiscoC   t    7    7    7     32     32     32  0.09  0.09   4.7   4.7    0
               ecbrprq25_DiscoC   t    4    4    4      6      6      6  1.04  1.04   1.6   1.6    0
              bgr186e02_Disco_E   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprq23_DiscoF   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             VM_srvpro01_DiscoL   t    4    4    4     32     32     32  3.77  3.77   8.2   8.2    0
             VM_srvpro01_DiscoM   t    0    0    0     30     30     30  0.27  0.27  61.4  61.4    0
               ecbrprw17_DiscoC   t    0    0    0      0      0      0  0.12  0.12   0.5   0.5    0
               ecbrprw18_DiscoC   t    1    1    1      0      0      0  0.11  0.11   0.5   0.5    0
               ECBRPRW11_DiscoC   t    2    2    2      7      7      7  0.10  0.10   3.0   3.0    0
           ECBRPRW01_W02_DiscoC   t    2    2    2      9      9      9  0.09  0.09   3.8   3.8    0
               ECBRPRW10_DiscoC   t    4    4    4     18     18     18  0.10  0.10   4.3   4.3    0
        bgr186c01_DiscoC_D_Thin   t    1    1    1      0      0      0  0.13  0.13   0.5   0.5    0
       bgrtalladb_DiscoC_D_Thin   t    0    0    0      0      0      0  0.08  0.08   0.5   0.5    0
               ecbrpra01_DiscoC   t    1    1    1      0      0      0  0.14  0.14   0.5   0.5    0
               ecbrprq23_DiscoE   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             ECBRPRCAS01_DiscoC   t    2    2    2      1      1      1  0.33  0.33   0.5   0.5    0
             ECBRPRCAS02_DiscoC   t    3    3    3      6      6      6  0.14  0.14   1.7   1.7    0
              ecbrprsi02_DiscoC   t    4    4    4    107    107    107  7.01  7.01  24.8  24.8    0
                        .srdata   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
          ECBRPRW12_DiscoC_Thin   t    2    2    2     10     10     10  3.50  3.50   4.3   4.3    0
          ECBRPRW07_DiscoC_Thin   t    3    3    3      3      3      3  5.87  5.87   1.2   1.2    0
          bgr186cw2_DiscoC_Thin   t    7    7    7     20     20     20  1.59  1.59   3.0   3.0    0
        bgr186e03_DiscoC_D_Thin   t    3    3    3     64     64     64  3.00  3.00  22.2  22.2    0
          bgr186rh1_DiscoC_Thin   t    3    3    3     32     32     32  0.22  0.22  11.1  11.1    0
          ecbrprq22_DiscoC_D_OK   t   18   18   18     61     61     61  0.15  0.15   3.4   3.4    0
         bgr186e02_Disco_C_Thin   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
             bgr186h01_DiscoC_D   t    4    4    4     44     44     44  0.20  0.20  11.5  11.5    0
        bgr186h02_DiscoC_D_Thin   t    4    4    4     68     68     68  2.95  2.95  17.7  17.7    0
        bgr186qv1_DiscoC_D_Thin   t    4    4    4     12     12     12  0.20  0.20   3.1   3.1    0
        bgr186w05_DiscoC_D_Thin   t   15   15   15     85     85     85  0.14  0.14   5.5   5.5    0
          ECBRPRW03_DiscoC_Thin   t    3    3    3     78     78     78 12.92 12.92  23.0  23.0    0
          ECBRPRW04_DiscoC_Thin   t    3    3    3      7      7      7  4.13  4.13   2.0   2.0    0
          ECBRPRW08_DiscoC_Thin   t    3    3    3     64     64     64  2.88  2.88  22.2  22.2    0
        ecbrprw14_DiscoC_D_Thin   t   30   30   30   1943   1943   1943  3.75  3.75  65.1  65.1    0
          ECBRPRW15_DiscoC_Thin   t   41   41   41   2632   2632   2632  1.84  1.84  64.3  64.3    0
          ECBRPRW16_DiscoC_Thin   t    2    2    2      1      1      1  4.31  4.31   0.5   0.5    0
            ecbrprjx01_DiscoC_D   t    2    2    2      1      1      1  0.28  0.28   0.5   0.5    0
               ECBRPRW20_DiscoC   t    4    4    4      8      8      8 11.27 11.27   2.0   2.0    0
               ECBRPRQ30_DiscoC   t    1    1    1      8      8      8  0.07  0.07   5.5   5.5    0
               ECBRPRQ30_DiscoD   t    2    2    2      2      2      2  0.12  0.12   1.2   1.2    0
               ECBRPRW19_DiscoC   t    3    3    3      3      3      3  0.47  0.47   1.1   1.1    0
                  ECBRVSP1_vg00   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ECBRPRF01_DISCOC   t    1    1    1      0      0      0  0.55  0.55   0.5   0.5    0
                  ECBRVSF1_vg00   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                   ECBRVSF1_DRD   t    5    5    5    181    181    181  6.02  6.02  37.7  37.7    0
                   ECBRVSP1_DRD   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRHCP3_vg00   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRVSP1_swap   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
              ecbrprwe23_DiscoC   t    2    2    2      1      1      1  0.19  0.19   0.5   0.5    0
              ecbrprwe24_DiscoC   t    4    4    4     11     11     11  0.12  0.12   2.9   2.9    0
              ecbrprsp01_DiscoC   t    3    3    3     12     12     12  2.57  2.57   3.5   3.5    0
               ecbrprw23_DiscoC   t    3    3    3     52     52     52  4.90  4.90  17.8  17.8    0
               ecbrprw24_DiscoC   t    5    5    5     11     11     11  6.61  6.61   2.1   2.1    0
               ecbrprq33_DiscoC   t    3    3    3      7      7      7  9.22  9.22   2.6   2.6    0
               ecbrprq34_DiscoC   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprq33_DiscoD   t  155  155  155  12745  12745  12745  3.16  3.16  82.2  82.2    0
               ecbrprq34_DiscoD   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               bgr186vc2_DiscoJ   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               bgr186a05_DiscoH   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            bgr186q03_DiscoC_ok   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprw25_DiscoC   t    1    1    1      0      0      0  0.40  0.40   0.5   0.5    0
               bgr186a01_DiscoL   t  350  350  350  37024  37024  37024 10.64 10.64 105.9 105.9    0
               bgr186q04_DiscoY   t  883  883  883    490    490    490  0.18  0.18   0.6   0.6    0
              ecbrprq35_Disco_C   t    7    7    7    105    105    105  1.40  1.40  15.5  15.5    0
              ecbrprw27_Disco_C   t    4    4    4     42     42     42  1.81  1.81  10.8  10.8    0
               ecbrpra02_DiscoC   t    7    7    7     21     21     21  0.64  0.64   3.2   3.2    0
               ecbrprq36_DiscoC   t   29   29   29   1325   1325   1325  0.24  0.24  45.9  45.9    0
               ecbrprq38_DiscoC   t  246  246  246  15519  15519  15519  3.68  3.68  63.1  63.1    0
               ecbrprq38_DiscoD   t   46   46   46    100    100    100  0.24  0.24   2.2   2.2    0
               ecbrprq38_DiscoX   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprq38_DiscoH   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
           ecbrprq23_DiscoC_new   t    1    1    1      4      4      4  0.03  0.03   3.8   3.8    0
               ecbrprq33_DiscoE   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprq33_DiscoF   t   53   53   53     74     74     74  0.22  0.22   1.4   1.4    0
               ecbrprq34_DiscoE   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprq34_DiscoF   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
       puio186f00_DiscoC_D_clon   t   10   10   10     77     77     77  1.24  1.24   7.7   7.7    0
          BGR186D03_Disco_C_mig   t    4    4    4     12     12     12  3.88  3.88   3.0   3.0    0
      ECBRPRW28_W29_W30_H01_mig   t   20   20   20    204    204    204  3.55  3.55  10.3  10.3    0
       ecbrprmn01_Disco_C_D_mig   t    1    1    1      0      0      0 29.52 29.52   0.5   0.5    0
         bgr186md1_DiscoC_D_Mig   t   18   18   18    113    113    113  0.22  0.22   6.2   6.2    0
     ECBRPRHMB01_DiscoC_D_E_a_K   t  167  167  167  24283  24283  24283  1.19  1.19 145.3 145.3    0
     ECBRPRHMB02_DiscoC_D_E_a_K   t   80   80   80   8754   8754   8754  5.68  5.68 108.9 108.9    0
               ecbrprcl3_DiscoC   t    3    3    3     18     18     18  0.25  0.25   5.3   5.3    0
               ecbrprcl4_DiscoC   t    1    1    1      0      0      0  7.68  7.68   0.5   0.5    0
     ecbrprcl3_cl4_DiscoE_r1dtc   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
       ecbrprcl3_cl4_DiscoF_q39   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
   ecbrprcl3_cl4_LOG_DiscoG_Q39   t    1    1    1      4      4      4  0.20  0.20   2.7   2.7    0
         ECBRPRQ37_DiscoC_D_mig   t    1    1    1      0      0      0  0.32  0.32   0.5   0.5    0
               ECBRPRQ37_DiscoG   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ECBRPRQ37_DiscoF   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprq38_DiscoI   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprq38_DiscoJ   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ECBRPRAP1_SO_APP   t    5    5    5     26     26     26 16.20 16.20   4.8   4.8    0
            ecbrprw33_Disco_C_D   t    1    1    1      0      0      0  0.69  0.69   0.5   0.5    0
     ecbrprct1_ct2_w32_DiscoC_D   t   23   23   23    229    229    229  0.95  0.95   9.9   9.9    0
             ecbrprgr1_DiscoC_D   t    2    2    2      1      1      1  0.27  0.27   0.5   0.5    0
               ecbrprb01_discoY   t    1    1    1      4      4      4  0.03  0.03   4.1   4.1    0
               ecbrprb01_discoZ   t  380  380  380  54106  54106  54106  7.81  7.81 142.4 142.4    0
              ecbrprs01_DiscC_D   t    1    1    1      0      0      0  0.24  0.24   0.5   0.5    0
              ecbrprs02_DiscC_D   t    1    1    1      2      2      2 19.33 19.33   1.7   1.7    0
             ecbrprwbs_discoC_D   t    6    6    6     71     71     71  1.22  1.22  11.3  11.3    0
               ecbrprq24_discoF   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            componentbl1_SO_DAT   t   18   18   18    200    200    200  0.18  0.18  10.9  10.9    0
  ecbpprlnk1_sms_a02_cw3_DiscoC   t   73   73   73    395    395    395  1.41  1.41   5.4   5.4    0
      ecbrprcl3_cl4_Disco_D_Q39   t    2    2    2      1      1      1  1.00  1.00   0.5   0.5    0
                    ECBRBE21_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE21_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                    ECBRBE22_SO   t   36   36   36    204    204    204  0.12  0.12   5.7   5.7    0
                  ECBRBE22_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                    ECBRBE23_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE23_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                    ECBRBE24_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE24_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                    ECBRBE25_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE25_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                    ECBRBE26_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE26_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                    ECBRBE27_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                  ECBRBE27_DATA   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            ECBRBE_PLANTILLA_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
               ecbrprb01_discoF   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
                ECBRBE_AUXILIAR   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
            ecbrprwe01_DiscoC_D   t    3    3    3     17     17     17  4.72  4.72   5.0   5.0    0
            ecbrprts01_DiscoC_D   t    2    2    2      4      4      4  8.60  8.60   2.3   2.3    0
             ecbrprf02_discoC_D   t  170  170  170  29288  29288  29288 10.69 10.69 171.8 171.8    0
                    ECBRBE11_SO   t    0    0    0      0      0      0  0.00  0.00   0.0   0.0    0
